Diagnose;Schlüssel;Anzahl von Diagnose
Störungen des Phosphorstoffwechsels und der Phosphatase, nicht näher bezeichnet;E83.39;Gefährlich
Unspezifische reaktive Hepatitis;K75.2;Gefährlich
Unglücklichsein;R45.2;Gefährlich
Verbrennung 1. Grades des Kopfes und des Halses;T20.1;Gefährlich
Unspezifischer niedriger Blutdruckwert;R03.1;Gefährlich
Vorhandensein eines Ileostomas;Z93.2;Gefährlich
Sonstige rezeptive Sprachstörung;F80.28;Gefährlich
Sonstige näher bezeichnete Krankheiten des Verdauungssystems in der Perinatalperiode;P78.8;Gefährlich
Zerebrale Übererregbarkeit des Neugeborenen;P91.3;Gefährlich
Versorgung eines Kolostomas;Z43.3;Gefährlich
Soziale Phobien;F40.1;Gefährlich
Sonstiger Pruritus;L29.8;Gefährlich
Zoster ohne Komplikation;B02.9;Gefährlich
Sonstige Neutropenie;D70.6;Gefährlich
Störungen der Speichelsekretion;K11.7;Gefährlich
Syndrom des Kindes einer diabetischen Mutter;P70.1;Gefährlich
Versorgen mit und Anpassen von kieferorthopädischen Geräten;Z46.4;Gefährlich
Sonstige näher bezeichnete Krankheiten des Weichteilgewebes: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes];M79.87;Gefährlich
Sonstige Rückenschmerzen: Lumbalbereich;M54.86;Gefährlich
Sonstiger näher bezeichneter Darmverschluss beim Neugeborenen;P76.8;Gefährlich
Sonstige näher bezeichnete Sepsis;A41.8;Gefährlich
Verstauchung und Zerrung des oberen Sprunggelenkes: Teil nicht näher bezeichnet;S93.40;Gefährlich
Vitamin-K-Mangel;E56.1;Gefährlich
Tinnitus aurium;H93.1;Gefährlich
Zu starke oder zu häufige Menstruation bei regelmäßigem Menstruationszyklus;N92.0;Gefährlich
Vesikuläre Stomatitis mit Exanthem durch Enteroviren;B08.4;Gefährlich
Sonstige näher bezeichnete Krankheiten der Tuba auditiva;H69.8;Gefährlich
Virusinfektion, nicht näher bezeichnet;B34.9;Gefährlich
Sonstige oberflächliche Verletzungen des Handgelenkes und der Hand: Insektenbiss oder -stich (ungiftig);S60.83;Gefährlich
Sopor;R40.1;Gefährlich
Sonstige näher bezeichnete Krankheiten der oberen Atemwege;J39.88;Gefährlich
Sonstige oberflächliche Verletzungen der Knöchelregion und des Fußes: Insektenbiss oder -stich (ungiftig);S90.83;Gefährlich
Oberflächliche Verletzung des Kopfes, Teil nicht näher bezeichnet: Prellung;S00.95;Gefährlich
Sonstige Affektionen mit Auswirkung auf die Augenlidfunktion;H02.5;Gefährlich
Sonstige angeborene Anämien, anderenorts nicht klassifiziert;P61.4;Gefährlich
Scharlach;A38;Gefährlich
Offene Wunde des Augenlides und der Periokularregion;S01.1;Gefährlich
Sonstige angeborene Fehlbildungen der Aorta;Q25.4;Gefährlich
Primäre pulmonale Hypertonie;I27.0;Gefährlich
Sonstige angeborene Fehlbildungen der Herzsepten;Q21.88;Gefährlich
Sonstige gastrointestinale Blutung beim Neugeborenen;P54.3;Gefährlich
Schlaffe neurogene Harnblase, anderenorts nicht klassifiziert;N31.2;Gefährlich
Pneumonie durch sonstige feste und flüssige Substanzen;J69.8;Gefährlich
Sonstige angeborene Fehlbildungen der Wirbelsäule ohne Skoliose;Q76.4;Gefährlich
Sonstige kontrazeptive Maßnahmen;Z30.8;Gefährlich
Sepsis: Pseudomonas;A41.52;Gefährlich
Primäre Thrombophilie;D68.5;Gefährlich
Prellung einer oder mehrerer Zehen ohne Schädigung des Nagels;S90.1;Gefährlich
Offene Wunde: Ohrmuschel;S01.31;Gefährlich
Nierenhypoplasie, einseitig;Q60.3;Gefährlich
Renale Osteodystrophie;N25.0;Gefährlich
Oberflächliche Verletzung sonstiger Teile des Kopfes: Insektenbiss oder -stich (ungiftig);S00.83;Gefährlich
Periapikaler Abszess ohne Fistel;K04.7;Gefährlich
Pneumonie durch Pseudomonas;J15.1;Gefährlich
Nondescensus testis, nicht näher bezeichnet;Q53.9;Gefährlich
Oberflächliche Verletzung der Lippe und der Mundhöhle: Schürfwunde;S00.51;Gefährlich
Sonstige Agranulozytose;D70.3;Gefährlich
Prellung der Knöchelregion;S90.0;Gefährlich
Sonstige interstitielle Lungenkrankheiten mit Fibrose;J84.1;Gefährlich
Prellung sonstiger und nicht näher bezeichneter Teile des Unterarmes;S50.1;Gefährlich
Paralytischer Ileus;K56.0;Gefährlich
Prellung sonstiger und nicht näher bezeichneter Teile des Unterschenkels;S80.1;Gefährlich
Polyurie;R35;Gefährlich
Sonstige erworbene Deformität des Kopfes;M95.2;Gefährlich
Phlegmone an der oberen Extremität;L03.10;Gefährlich
Oberflächliche Verletzung sonstiger Teile des Halses: Schürfwunde;S10.81;Gefährlich
Sonstige näher bezeichnete alimentäre Anämien;D53.8;Gefährlich
Otalgie;H92.0;Gefährlich
Notwendigkeit der Impfung gegen Masern-Mumps-Röteln [MMR];Z27.4;Gefährlich
Rückenschmerzen, nicht näher bezeichnet: Nicht näher bezeichnete Lokalisation;M54.99;Gefährlich
Psychische und Verhaltensstörungen durch multiplen Substanzgebrauch und Konsum anderer psychotroper Substanzen: Abhängigkeitssyndrom;F19.2;Gefährlich
Sonstige für das Gestationsalter zu schwere Neugeborene;P08.1;Gefährlich
Sonstige Gastritis;K29.6;Gefährlich
Oberflächliche Verletzung der Lippe und der Mundhöhle: Prellung;S00.55;Gefährlich
Sonstige Deletionen der Autosomen;Q93.8;Gefährlich
Sonstige akute nichteitrige Otitis media;H65.1;Gefährlich
Fraktur des Jochbeins und des Oberkiefers;S02.4;Gefährlich
Gelenkschmerz: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk];M25.51;Gefährlich
Hernia inguinalis, einseitig oder ohne Seitenangabe, mit Einklemmung, ohne Gangrän: Nicht als Rezidivhernie bezeichnet;K40.30;Gefährlich
Hypersplenismus;D73.1;Gefährlich
Fremdkörper im Bronchus;T17.5;Gefährlich
Hämatemesis beim Neugeborenen;P54.0;Gefährlich
Nicht näher bezeichnete Niereninsuffizienz;N19;Gefährlich
Interkostalneuropathie;G58.0;Gefährlich
Neuritis nervi optici;H46;Gefährlich
Kontrazeptive Maßnahme, nicht näher bezeichnet;Z30.9;Gefährlich
Neuromuskuläre Krankheit, nicht näher bezeichnet;G70.9;Gefährlich
Frakturen sonstiger Teile der Unterschenkels;S82.88;Gefährlich
Konjunktivitis, nicht näher bezeichnet;H10.9;Gefährlich
Lyme-Krankheit;A69.2;Gefährlich
Fraktur des Radiusschaftes, Teil nicht näher bezeichnet;S52.30;Gefährlich
Kontrolle von Verbänden und Nähten;Z48.0;Gefährlich
Fraktur des Femurschaftes;S72.3;Gefährlich
Lymphknotenvergrößerung, nicht näher bezeichnet;R59.9;Gefährlich
Koagulopathie, nicht näher bezeichnet;D68.9;Gefährlich
Leichte depressive Episode;F32.0;Gefährlich
Herzstillstand, nicht näher bezeichnet;I46.9;Gefährlich
Hereditärer Faktor-V-Mangel;D68.22;Gefährlich
Hirnödem;G93.6;Gefährlich
Gelenkschmerz: Mehrere Lokalisationen;M25.50;Gefährlich
Fraktur des distalen Endes des Humerus: Suprakondylär;S42.41;Gefährlich
Krankheit des Verdauungssystems in der Perinatalperiode, nicht näher bezeichnet;P78.9;Gefährlich
Invagination;K56.1;Gefährlich
Krankheiten der Atemwege in der Familienanamnese;Z83.6;Gefährlich
Nicht näher bezeichnete Energie- und Eiweißmangelernährung;E46;Gefährlich
Intestinale Adhäsionen [Briden] mit Ileus;K56.5;Gefährlich
Meläna beim Neugeborenen;P54.1;Gefährlich
Makrozephalie;Q75.3;Gefährlich
Laboruntersuchung;Z01.7;Gefährlich
Krankheiten der Lippen;K13.0;Gefährlich
Lokalisierte Schwellung, Raumforderung und Knoten der Haut und der Unterhaut am Rumpf;R22.2;Gefährlich
Neubildung unsicheren oder unbekannten Verhaltens: Bindegewebe und andere Weichteilgewebe;D48.1;Gefährlich
Langzeitige Abhängigkeit vom Aspirator;Z99.0;Gefährlich
Funikulozele;N43.0;Gefährlich
Migräne mit Aura [Klassische Migräne];G43.1;Gefährlich
Intrakranielle und intraspinale Phlebitis und Thrombophlebitis;G08;Gefährlich
Mukokutanes Lymphknotensyndrom [Kawasaki-Krankheit];M30.3;Gefährlich
Gelenkschmerz: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes];M25.57;Gefährlich
Interstitielles Emphysem mit Ursprung in der Perinatalperiode;P25.0;Gefährlich
Körperlicher Missbrauch;T74.1;Gefährlich
Kandidose beim Neugeborenen;P37.5;Gefährlich
Eisenmangel;E61.1;Gefährlich
Anurie und Oligurie;R34;Gefährlich
Analfissur, nicht näher bezeichnet;K60.2;Gefährlich
Abszess der Vulva;N76.4;Gefährlich
Candida-Sepsis;B37.7;Gefährlich
Darmverschluss beim Neugeborenen durch eingedickte Milch;P76.2;Gefährlich
Angeborene Fehlbildungssyndrome mit vorwiegender Beteiligung der Extremitäten;Q87.2;Gefährlich
Apallisches Syndrom;G93.80;Gefährlich
Abnorme Befunde in Untersuchungsmaterialien aus Atemwegen und Thorax: Abnorme mikrobiologische Befunde;R84.5;Gefährlich
Akute Pankreatitis, nicht näher bezeichnet: Ohne Angabe einer Organkomplikation;K85.90;Gefährlich
Atrioventrikulärer Block 1. Grades;I44.0;Gefährlich
Dekubitus 1. Grades: Kreuzbein;L89.04;Gefährlich
Choanalatresie;Q30.0;Gefährlich
Akute Pansinusitis;J01.4;Gefährlich
Emotioneller Schock oder Stress, nicht näher bezeichnet;R45.7;Gefährlich
Abnorme Befunde bei der bildgebenden Diagnostik sonstiger Abschnitte des Muskel-Skelett-Systems;R93.7;Gefährlich
Angeborener Hydrozephalus, nicht näher bezeichnet;Q03.9;Gefährlich
Dekubitus 1. Grades: Trochanter;L89.06;Gefährlich
Anhaltende somatoforme Schmerzstörung;F45.40;Gefährlich
Akute Pharyngitis durch sonstige näher bezeichnete Erreger;J02.8;Gefährlich
Akute Appendizitis, nicht näher bezeichnet;K35.8;Gefährlich
Dekubitus 4. Grades: Trochanter;L89.36;Gefährlich
Akute Laryngitis;J04.0;Gefährlich
Depressive Episode, nicht näher bezeichnet;F32.9;Gefährlich
Angeborene Zytomegalie;P35.1;Gefährlich
Dermatitis solaris acuta 1. Grades;L55.0;Gefährlich
Dysurie;R30.0;Gefährlich
Dermatitis solaris acuta, nicht näher bezeichnet;L55.9;Gefährlich
Einling, Geburt außerhalb des Krankenhauses;Z38.1;Gefährlich
Akutes nephritisches Syndrom: Art der morphologischen Veränderung nicht näher bezeichnet;N00.9;Gefährlich
Angeborene Fehlbildungen, die die Darmfixation betreffen;Q43.3;Gefährlich
Ataktische Zerebralparese;G80.4;Gefährlich
Allergische Kontaktdermatitis durch sonstige chemische Produkte;L23.5;Gefährlich
Angeborene Hypothyreose ohne Struma;E03.1;Gefährlich
Angeborene(s) Fehlen, Atresie und Stenose des Duodenums;Q41.0;Gefährlich
Diagnostische Haut- und Sensibilisierungstestung;Z01.5;Gefährlich
Folgen entzündlicher Krankheiten des Zentralnervensystems;G09;Gefährlich
Angeborene Niereninsuffizienz;P96.0;Gefährlich
Anämie, nicht näher bezeichnet;D64.9;Gefährlich
Angeborene arteriovenöse Fistel der zerebralen Gefäße;Q28.21;Gefährlich
Ankyloglosson;Q38.1;Gefährlich
Angeborene Stenose und Striktur des Canaliculus lacrimalis;Q10.5;Gefährlich
Akute Bronchiolitis durch Respiratory-Syncytial-Viren [RS-Viren];J21.0;Gefährlich
Ataxie, nicht näher bezeichnet;R27.0;Gefährlich
Doppelseitige Hernia inguinalis, ohne Einklemmung und ohne Gangrän: Nicht als Rezidivhernie bezeichnet;K40.20;Gefährlich
Chronische Nierenkrankheit, Stadium 2;N18.2;Gefährlich
Folgezustände sonstiger näher bezeichneter infektiöser und parasitärer Krankheiten;B94.8;Gefährlich
Chronische Pansinusitis;J32.4;Gefährlich
Chronische Schmerzstörung mit somatischen und psychischen Faktoren;F45.41;Gefährlich
Verbrennung Grad 2b der Schulter und des Armes, ausgenommen Handgelenk und Hand: Unterarm und Ellenbogen;T22.81;Gefährlich
Zwangsgedanken und -handlungen, gemischt;F42.2;Gefährlich
Sonstige näher bezeichnete Krankheiten des Harnsystems;N39.88;Gefährlich
Sonstige und nicht näher bezeichnete Sprech- und Sprachstörungen;R47.8;Gefährlich
Verbrennung Grad 2a des Rumpfes: (Äußeres) Genitale;T21.25;Gefährlich
Zystische Fibrose mit Lungen- und Darm-Manifestation;E84.80;Gefährlich
Zerebrale Ischämie beim Neugeborenen;P91.0;Gefährlich
Verstauchung und Zerrung der Brustwirbelsäule;S23.3;Gefährlich
Zu starke oder zu häufige Menstruation bei unregelmäßigem Menstruationszyklus;N92.1;Gefährlich
Sonstige näher bezeichnete Krankheitszustände der Haut, die für den Feten und das Neugeborene spezifisch sind;P83.8;Gefährlich
Sonstige näher bezeichnete Muskelkrankheiten: Nicht näher bezeichnete Lokalisation;M62.89;Gefährlich
Thyreoiditis, nicht näher bezeichnet;E06.9;Gefährlich
Verbrennung Grad 2a des Rumpfes: Rücken [jeder Teil];T21.24;Gefährlich
Spezielle Verfahren zur Untersuchung auf sonstige näher bezeichnete Krankheiten oder Störungen;Z13.8;Gefährlich
Ulcus cruris, anderenorts nicht klassifiziert;L97;Gefährlich
Untersuchung und Beobachtung aus sonstigen näher bezeichneten Gründen;Z04.8;Gefährlich
Zerebraler Depressionszustand des Neugeborenen;P91.4;Gefährlich
Sonstige oberflächliche Verletzungen der vorderen Thoraxwand: Insektenbiss oder -stich (ungiftig);S20.33;Gefährlich
Versorgen mit und Anpassen eines Ileostomas oder von sonstigen Vorrichtungen im Magen-Darmtrakt;Z46.5;Gefährlich
Sonstige näher bezeichnete Krankheiten der Synovialis und der Sehnen: Unterschenkel [Fibula, Tibia, Kniegelenk];M67.86;Gefährlich
Sonstige näher bezeichnete Symptome, die das Verdauungssystem und das Abdomen betreffen;R19.8;Gefährlich
Sonstige näher bezeichnete Störungen der Temperaturregulation beim Neugeborenen;P81.8;Gefährlich
Undifferenzierte Somatisierungsstörung;F45.1;Gefährlich
Toxische Wirkung: Alkohol, nicht näher bezeichnet;T51.9;Gefährlich
Sonstige transitorische Stoffwechselstörungen beim Neugeborenen;P74.8;Gefährlich
Toxische Wirkung: Gift sonstiger Arthropoden;T63.4;Gefährlich
Sonstige näher bezeichnete Krankheiten der Wirbelsäule und des Rückens: Zervikalbereich;M53.82;Gefährlich
Volvulus;K56.2;Gefährlich
Sonstige vor dem Termin Geborene;P07.3;Gefährlich
Sonstige oberflächliche Verletzungen der Schulter und des Oberarmes: Insektenbiss oder -stich (ungiftig);S40.83;Gefährlich
Verbrennung Grad 2b des Rumpfes: Thoraxwand mit Ausnahme von Brustdrüse und -warze;T21.82;Gefährlich
Sonstige näher bezeichnete Krankheiten des Peritoneums;K66.8;Gefährlich
Vergiftung: Sonstige nichtopioidhaltige Analgetika und Antipyretika, anderenorts nicht klassifiziert;T39.8;Gefährlich
Valgusdeformität, anderenorts nicht klassifiziert: Unterschenkel [Fibula, Tibia, Kniegelenk];M21.06;Gefährlich
Verlangsamung und herabgesetztes Reaktionsvermögen;R46.4;Gefährlich
Spalte des harten und des weichen Gaumens mit einseitiger Lippenspalte;Q37.5;Gefährlich
Verlust der Niere(n);Z90.5;Gefährlich
Transitorischer Hypoparathyreoidismus beim Neugeborenen;P71.4;Gefährlich
Syndrom des Kindes einer Mutter mit gestationsbedingtem Diabetes mellitus;P70.0;Gefährlich
Strabismus, nicht näher bezeichnet;H50.9;Gefährlich
Versorgen mit und Anpassen von anderen medizinischen Geräten oder Hilfsmitteln für das Nervensystem oder für spezielle Sinnesorgane;Z46.2;Gefährlich
Traumatische subdurale Blutung;S06.5;Gefährlich
Störung des Sozialverhaltens bei vorhandenen sozialen Bindungen;F91.2;Gefährlich
Sonstige Rückenschmerzen: Mehrere Lokalisationen der Wirbelsäule;M54.80;Gefährlich
Störung des Sozialverhaltens mit depressiver Störung;F92.0;Gefährlich
Sonstige Thrombophilien;D68.6;Gefährlich
Umschriebenes zerebrales Hämatom;S06.33;Gefährlich
Verbrennung Grad 2a der Schulter und des Armes, ausgenommen Handgelenk und Hand: (Ober-) Arm und Schulterregion;T22.22;Gefährlich
Zyste der Niere, erworben;N28.1;Gefährlich
Sonstige sekundäre Thrombozytopenien, nicht als transfusionsrefraktär bezeichnet;D69.58;Gefährlich
Truncus arteriosus communis;Q20.0;Gefährlich
Thrombose, Phlebitis und Thrombophlebitis oberflächlicher Gefäße der oberen Extremitäten;I80.80;Gefährlich
Sonstige näher bezeichnete Krankheiten des Anus und des Rektums;K62.8;Gefährlich
Posttraumatische Belastungsstörung;F43.1;Gefährlich
Offene Wunde: Zahnfleisch (Processus alveolaris);S01.53;Gefährlich
Nondescensus testis, beidseitig;Q53.2;Gefährlich
Pulpitis;K04.0;Gefährlich
Primäre Dysmenorrhoe;N94.4;Gefährlich
Offene Wunde: Gaumen;S01.55;Gefährlich
Sonstige näher bezeichnete angeborene Fehlbildungen;Q89.8;Gefährlich
Rh-Isoimmunisierung beim Feten und Neugeborenen;P55.0;Gefährlich
Pleuritis;R09.1;Gefährlich
Offene Wunde an einer nicht näher bezeichneten Körperregion;T14.1;Gefährlich
Regurgitation und Rumination beim Neugeborenen;P92.1;Gefährlich
Pneumonie durch Mycoplasma pneumoniae;J15.7;Gefährlich
Sonstige Krankheiten des Verdauungssystems nach medizinischen Maßnahmen, anderenorts nicht klassifiziert;K91.88;Gefährlich
Prellung der äußeren Genitalorgane;S30.2;Gefährlich
Sonstige Affektionen der Papille;H47.3;Gefährlich
Sonstige angeborene Fehlbildungen der Bauchdecke;Q79.5;Gefährlich
Oberflächliche Verletzung des Ohres: Schürfwunde;S00.41;Gefährlich
Offene Wunde des Unterarmes, Teil nicht näher bezeichnet;S51.9;Gefährlich
Polyzystische Niere, autosomal-rezessiv;Q61.1;Gefährlich
Schwere depressive Episode ohne psychotische Symptome;F32.2;Gefährlich
Sepsis: Escherichia coli [E. coli];A41.51;Gefährlich
Portale Hypertonie;K76.6;Gefährlich
Skabies;B86;Gefährlich
Schwerste Intelligenzminderung: Keine oder geringfügige Verhaltensstörung;F73.0;Gefährlich
Sonstige Komplikationen nach Impfung [Immunisierung], anderenorts nicht klassifiziert;T88.1;Gefährlich
Salmonellenenteritis;A02.0;Gefährlich
Sonstige Krankheiten der Zunge;K14.8;Gefährlich
Sonstige angeborene Funktionsstörungen des Kolons;Q43.2;Gefährlich
Schlaffe Paraparese und Paraplegie: Chronische inkomplette Querschnittlähmung;G82.03;Gefährlich
Sonstige angeborene Valgusdeformitäten der Füße;Q66.6;Gefährlich
Phlegmone am Rumpf;L03.3;Gefährlich
Optikusatrophie;H47.2;Gefährlich
Schlafstörung, nicht näher bezeichnet;G47.9;Gefährlich
Sonstige Appendizitis;K36;Gefährlich
Sonstige näher bezeichnete angeborene Fehlbildungen der Schädel- und Gesichtsschädelknochen;Q75.8;Gefährlich
Sonstige bakterielle Infektionen nicht näher bezeichneter Lokalisation;A49.8;Gefährlich
Posttraumatischer Hydrozephalus, nicht näher bezeichnet;G91.3;Gefährlich
Sonstige biomechanische Funktionsstörungen: Kopfbereich [okzipitozervikal];M99.80;Gefährlich
Oberflächliche Verletzung sonstiger Teile des Halses: Prellung;S10.85;Gefährlich
Paroxysmale Tachykardie, nicht näher bezeichnet;I47.9;Gefährlich
Schmerzen in den Extremitäten: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen];M79.64;Gefährlich
Pneumomediastinum mit Ursprung in der Perinatalperiode;P25.2;Gefährlich
Sonstige granulomatöse Krankheiten der Haut und der Unterhaut;L92.8;Gefährlich
Sonstige Colitis ulcerosa;K51.8;Gefährlich
Prellung und Hämatom der Lunge;S27.31;Gefährlich
Sonstige Crohn-Krankheit;K50.88;Gefährlich
Septischer Schock;R57.2;Gefährlich
Schädelbasisfraktur;S02.1;Gefährlich
Periorale Dermatitis;L71.0;Gefährlich
Orchitis, Epididymitis und Epididymoorchitis ohne Abszess;N45.9;Gefährlich
Skoliose, nicht näher bezeichnet: Thorakolumbalbereich;M41.95;Gefährlich
Pylorospasmus, anderenorts nicht klassifiziert;K31.3;Gefährlich
Sonstige Komplikationen nach Infusion, Transfusion oder Injektion zu therapeutischen Zwecken;T80.8;Gefährlich
Polyglobulie beim Neugeborenen;P61.1;Gefährlich
Somatoforme autonome Funktionsstörung: Oberes Verdauungssystem;F45.31;Gefährlich
Sonstige Entwicklungsstörungen des Sprechens oder der Sprache;F80.8;Gefährlich
Ösophagusulkus;K22.1;Gefährlich
Sonstige näher bezeichnete Komplikationen bei chirurgischen Eingriffen und medizinischer Behandlung, anderenorts nicht klassifiziert;T88.8;Gefährlich
Oberflächliche Verletzung der unteren Extremität, Höhe nicht näher bezeichnet: Insektenbiss oder -stich (ungiftig);T13.03;Gefährlich
Sekundäre biliäre Zirrhose;K74.4;Gefährlich
Sonstige Lungenblutung mit Ursprung in der Perinatalperiode;P26.8;Gefährlich
Penile Hypospadie;Q54.1;Gefährlich
Schlaffe Tetraparese und Tetraplegie: Chronische komplette Querschnittlähmung;G82.32;Gefährlich
Sonstige Ernährungsprobleme beim Neugeborenen;P92.8;Gefährlich
Sonstige Myositis: Unterschenkel [Fibula, Tibia, Kniegelenk];M60.86;Gefährlich
Offene Wunde des Oberschenkels;S71.1;Gefährlich
Offene Wunde des Knies;S81.0;Gefährlich
Offene Wunde: Unterkieferregion;S01.43;Gefährlich
Oberflächliche Verletzung der Lippe und der Mundhöhle: Art der Verletzung nicht näher bezeichnet;S00.50;Gefährlich
Sonstige erworbene Deformitäten des Knöchels und des Fußes: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes];M21.67;Gefährlich
Panikstörung [episodisch paroxysmale Angst];F41.0;Gefährlich
Sekundärer Laktasemangel;E73.1;Gefährlich
Psychische und Verhaltensstörungen durch Tabak: Schädlicher Gebrauch;F17.1;Gefährlich
Sonstige Formen der Skoliose: Mehrere Lokalisationen der Wirbelsäule;M41.80;Gefährlich
Sonstige näher bezeichnete angeborene Fehlbildungen des Herzens;Q24.8;Gefährlich
Sonstige Formen der Skoliose: Thorakalbereich;M41.84;Gefährlich
Sonstige akute Pankreatitis: Ohne Angabe einer Organkomplikation;K85.80;Gefährlich
Rechenstörung;F81.2;Gefährlich
Sonstige näher bezeichnete bakterielle Darminfektionen;A04.8;Gefährlich
Sonstige Formen des Schocks;R57.8;Gefährlich
Primäre Rechtsherzinsuffizienz;I50.00;Gefährlich
Psychische und Verhaltensstörungen durch Cannabinoide: Schädlicher Gebrauch;F12.1;Gefährlich
Primäre Schlafapnoe beim Neugeborenen;P28.3;Gefährlich
Schizophrenie, nicht näher bezeichnet;F20.9;Gefährlich
Sonstige näher bezeichnete Harninkontinenz;N39.48;Gefährlich
Sepsis durch Streptokokken, Gruppe D;A40.2;Gefährlich
Ösophagusatresie mit Ösophagotrachealfistel;Q39.1;Gefährlich
Sonstige näher bezeichnete Koagulopathien;D68.8;Gefährlich
Nierenagenesie, einseitig;Q60.0;Gefährlich
Sonstige näher bezeichnete Krankheiten der Leukozyten;D72.8;Gefährlich
Schädigung des Feten und Neugeborenen durch Anästhesie und Analgesie bei der Mutter während Schwangerschaft, Wehen und Entbindung;P04.0;Gefährlich
Schädigung des Feten und Neugeborenen durch sonstige Formen der Plazentalösung und -blutung;P02.1;Gefährlich
Schäden durch elektrischen Strom;T75.4;Gefährlich
Nicht näher bezeichnete offene Wunde sonstiger und nicht näher bezeichneter Teile des Schultergürtels;S41.80;Gefährlich
Hypermetropie;H52.0;Gefährlich
Immobilität;R26.3;Gefährlich
Mechanische Komplikation durch eine interne Osteosynthesevorrichtung an Extremitätenknochen;T84.1;Gefährlich
Lokalisierte Schwellung, Raumforderung und Knoten der Haut und der Unterhaut am Kopf;R22.0;Gefährlich
Intrauterine Mangelentwicklung, nicht näher bezeichnet;P05.9;Gefährlich
Mangel an sonstigen näher bezeichneten Vitaminen des Vitamin-B-Komplexes;E53.8;Gefährlich
Megakolon, anderenorts nicht klassifiziert;K59.3;Gefährlich
Neugeborenes: Geburtsgewicht 500 bis unter 750 Gramm;P07.01;Gefährlich
Gastritis, nicht näher bezeichnet;K29.7;Gefährlich
Konjunktivitis durch Adenoviren;B30.1;Gefährlich
Krämpfe und Spasmen der Muskulatur;R25.2;Gefährlich
Lumbale Spina bifida ohne Hydrozephalus;Q05.7;Gefährlich
Gelenkerguss: Knöchel und Fuß [Fußwurzel, Mittelfuß, Zehen, Sprunggelenk, sonstige Gelenke des Fußes];M25.47;Gefährlich
Nichtallergisches Asthma bronchiale;J45.1;Gefährlich
Gesundheitsüberwachung und Betreuung eines anderen gesunden Säuglings und Kindes;Z76.2;Gefährlich
Neugeborenenikterus durch sonstige und nicht näher bezeichnete Leberzellschädigung;P59.2;Gefährlich
Meningokokkenmeningitis;A39.0;Gefährlich
Neugeborenes: Geburtsgewicht 1250 bis unter 1500 Gramm;P07.11;Gefährlich
Holoprosenzephalie-Syndrom;Q04.2;Gefährlich
Fraktur sonstiger Teile des Unterarmes;S52.8;Gefährlich
Krankheiten der Haut und der Unterhaut in der Familienanamnese;Z84.0;Gefährlich
Gelenkschmerz: Unterarm [Radius, Ulna, Handgelenk];M25.53;Gefährlich
Migräne ohne Aura [Gewöhnliche Migräne];G43.0;Gefährlich
Herzinsuffizienz beim Neugeborenen;P29.0;Gefährlich
Hautabszess, Furunkel und Karbunkel im Gesicht;L02.0;Gefährlich
Lokalisierte Schwellung, Raumforderung und Knoten der Haut und der Unterhaut an den unteren Extremitäten;R22.4;Gefährlich
Hörverlust, nicht näher bezeichnet;H91.9;Gefährlich
Fraktur des Tibiaschaftes: Sonstige;S82.28;Gefährlich
Isolierte Rechtschreibstörung;F81.1;Gefährlich
Hämatom der Milz;S36.01;Gefährlich
Gelenkerguss: Unterschenkel [Fibula, Tibia, Kniegelenk];M25.46;Gefährlich
Hämoglobinurie;R82.3;Gefährlich
Mitralklappeninsuffizienz;I34.0;Gefährlich
Nichtorganische Schlafstörung, nicht näher bezeichnet;F51.9;Gefährlich
Juvenile Osteochondrose des Femurkopfes [Perthes-Legg-Calvé-Krankheit];M91.1;Gefährlich
Ileus, nicht näher bezeichnet;K56.7;Gefährlich
Haut-Erysipeloid;A26.0;Gefährlich
Neugeborenes: Geburtsgewicht 1000 bis unter 1250 Gramm;P07.10;Gefährlich
Kandidose an sonstigen Lokalisationen;B37.88;Gefährlich
Hereditärer Mangel an sonstigen Gerinnungsfaktoren;D68.28;Gefährlich
Monoparese und Monoplegie einer oberen Extremität;G83.2;Gefährlich
Fraktur eines sonstigen Mittelhandknochens: Kopf;S62.34;Gefährlich
Nichtrheumatische Trikuspidalklappeninsuffizienz;I36.1;Gefährlich
Fraktur des Außenknöchels;S82.6;Gefährlich
Grand-mal-Anfälle, nicht näher bezeichnet (mit oder ohne Petit mal);G40.6;Gefährlich
Leichte oder mäßige Asphyxie unter der Geburt;P21.1;Gefährlich
Multiple Frakturen des Unterschenkels;S82.7;Gefährlich
Geburtsverletzung sonstiger Röhrenknochen;P13.3;Gefährlich
Hydronephrose bei Ureterstriktur, anderenorts nicht klassifiziert;N13.1;Gefährlich
Neuromyopathische Skoliose: Thorakolumbalbereich;M41.45;Gefährlich
Multiple offene Wunden des Handgelenkes und der Hand;S61.7;Gefährlich
Geburtsverletzungen an sonstigen Teilen des Skeletts;P13.8;Gefährlich
Grand-mal-Status;G41.0;Gefährlich
Konstitutioneller Hochwuchs;E34.4;Gefährlich
Kardiogener Schock;R57.0;Gefährlich
